id	paper	question	part	marks	calculator	source_pages	task_summary	primary_topic	secondary_topics	method_tags	method_path	accepted_alternatives
2024-NOV-COMMON-P1-Q01-A	1	1	a	3	no	3-4	Find the radius from sector area and central angle	geometry.circular_measure	algebra.equations	sector_area|substitution|solve_equation	Substitute area and angle into A = (1/2)r^2 theta; isolate r^2; take the positive square root	-
2024-NOV-COMMON-P1-Q01-B	1	1	b	2	no	3-4	Find the perimeter of the sector	geometry.circular_measure	-	arc_length|perimeter_composition	Compute arc length r theta; add two radii	-
2024-NOV-COMMON-P1-Q02-A	1	2	a	3	no	5	Find the intersection probability from two marginals and a union	statistics.probability	-	inclusion_exclusion|rearrange_formula	Use P(A union B) = P(A) + P(B) - P(A intersection B); rearrange	Venn diagram
2024-NOV-COMMON-P1-Q02-B	1	2	b	3	no	5	Find a conditional probability involving complements	statistics.probability	-	complement_probability|conditional_probability|venn_diagram	Find P(A' intersection B') from the complement of the union; divide by P(B')	Probability table
2024-NOV-COMMON-P1-Q03	1	3	-	4	no	6	Prove an algebraic expression is divisible by 12	number_algebra.proof	algebra.expansion	difference_of_squares|factorization|divisibility_argument	Apply difference of squares; simplify to 24n; factor as 12(2n)	Direct expansion|mathematical induction
2024-NOV-COMMON-P1-Q04	1	4	-	6	no	7	Find an exact half-angle cosine from the three sides of a triangle	geometry.trigonometry	algebra.exact_values	cosine_rule|double_angle_identity|exact_radical_simplification	Use cosine rule to find cos(2 theta); apply cos(2 theta) = 2cos^2(theta) - 1; choose the positive root; simplify the radical	-
2024-NOV-COMMON-P1-Q05	1	5	-	6	no	8	Determine which term of an arithmetic sequence equals zero	number_algebra.sequences	algebra.simultaneous_equations	arithmetic_term_formula|arithmetic_sum_formula|solve_simultaneous_equations	Form equations from u10 and S25; solve for first term and common difference; solve uk = 0	Use S_n = n(u_1 + u_n)/2
2024-NOV-COMMON-P1-Q06-A	1	6	a	3	no	9	Solve a quadratic inequality	number_algebra.inequalities	functions.quadratics	quadratic_roots|sign_analysis	Find both critical roots; use the sign of the upward-opening quadratic between the roots	Factorization|number line
2024-NOV-COMMON-P1-Q06-B	1	6	b	2	no	9	Choose the largest domain endpoint for which the inverse exists	functions.inverse_functions	functions.quadratics	turning_point|domain_restriction|horizontal_line_test	Locate the vertex; restrict the quadratic to a one-to-one branch ending at the vertex; justify with monotonicity or the horizontal line test	Derivative monotonicity
2024-NOV-COMMON-P1-Q07-A	1	7	a	3	no	10	Determine the range of a transformed secant function on a closed interval	functions.trigonometric_functions	-	endpoint_evaluation|range_analysis|graph_reasoning	Evaluate the transformed secant at endpoints and its minimum; state the closed range	Sketch the graph
